Date,Open,High,Low,Close,Adj Close,Volume,SMA_30,SMA_100,Daily Return,Rolling Volatility,Volume_SMA_30,Momentum,RSI
2019-11-09,8809.47,8891.82,8793.16,8813.58,8813.58,17578630606.0,7887.73,8201.4326,-0.026718480309821824,0.02421370516943703,20924406977.5,4.110000000000582,79.62081143507515
2019-11-08,9265.37,9272.76,8775.53,8804.88,8804.88,24333037836.0,7929.081,8190.1371,-0.0009871130686963658,0.024055084958758657,21221844635.833332,-460.4900000000016,82.8273814705831
2019-11-07,9352.39,9368.48,9202.35,9267.56,9267.56,22700383839.0,7986.125,8183.9185,0.05254813239930578,0.025509332323134407,21463406745.0,-84.82999999999993,83.65626411139144
2019-11-06,9340.86,9423.24,9305.91,9360.88,9360.88,23133895765.0,8046.587666666667,8174.4061,0.010069532865176978,0.025464950845514738,21631054393.6,20.019999999998618,81.41409477864723
2019-11-05,9413.0,9457.42,9256.93,9342.53,9342.53,26198609048.0,8109.7283333333335,8165.687599999999,-0.0019602857850969935,0.025234799298428392,21877138520.833332,-70.46999999999935,78.95825900820554
2019-11-04,9235.61,9505.05,9191.49,9412.61,9412.61,26170255634.0,8181.747666666666,8156.5532,0.007501180087192694,0.024393804633795223,22027339011.366665,177.0,78.59764442416957
2019-11-03,9324.79,9379.81,9141.25,9235.35,9235.35,21132220847.0,8245.587666666666,8146.8243,-0.018832183634507338,0.024917427543472648,22238496847.3,-89.44000000000051,67.88654828826577
2019-11-02,9259.78,9377.49,9249.59,9324.72,9324.72,21242676385.0,8312.345333333333,8141.5054,0.009676947814646786,0.02487476909319865,22377184703.266666,64.93999999999869,70.36994146629047
2019-11-01,9193.99,9275.66,9132.05,9261.1,9261.1,24324691031.0,8373.572333333334,8132.9497,-0.006822724971902505,0.025003227565893398,22563984121.666668,67.11000000000058,70.19074771213009
2019-10-31,9202.46,9383.16,9028.72,9199.58,9199.58,26583653947.0,8427.904,8126.2943000000005,-0.0066428394035266125,0.02503184867527643,22878166093.7,-2.8799999999991996,64.04233070290225
2019-10-30,9422.46,9426.87,9085.37,9205.73,9205.73,27706531577.0,8476.053666666667,8120.392199999999,0.0006685087797486666,0.02480746500475697,23144727297.733334,-216.72999999999956,62.00083332830116
2019-10-29,9248.44,9516.18,9232.65,9427.69,9427.69,28426779937.0,8541.539666666667,8117.3711,0.024111069953170583,0.023541664157921416,23457282737.266666,179.25,66.35945193176414
2019-10-28,9565.1,9805.12,9256.15,9256.15,9256.15,30948255332.0,8599.022666666666,8113.7984,-0.01819533735199197,0.024023342885937465,23689177489.533333,-308.9500000000007,62.557956698786406
2019-10-27,9241.71,9749.53,9112.54,9551.71,9551.71,32593129501.0,8676.800666666666,8117.5059,0.03193120249779868,0.02258394919047718,24071298288.166668,310.0,62.516775476019866
2019-10-26,8667.58,10021.74,8662.62,9244.97,9244.97,44496255609.0,8746.761999999999,8117.0204,-0.0321136215400174,0.023584973489880454,24131665766.4,577.3899999999994,60.5378996995383
2019-10-25,7490.7,8691.54,7479.98,8660.7,8660.7,28705065488.0,8800.521333333334,8110.1837,-0.06319869074750906,0.026738741872772965,24074050706.366665,1170.000000000001,47.25101242363926
2019-10-24,7509.73,7532.87,7446.99,7493.49,7493.49,16268708849.0,8803.711000000001,8091.1898,-0.13477086147770978,0.03618357062456152,23916043520.733334,-16.23999999999978,23.337892063301197
2019-10-23,8076.23,8093.0,7469.32,7514.67,7514.67,21942878958.0,8810.980666666666,8072.8312,0.0028264533615178777,0.03607653521997307,23506062293.166668,-561.5599999999995,21.638743889812304
2019-10-22,8243.4,8296.65,8074.46,8078.2,8078.2,16803377857.0,8825.495666666666,8058.5233,0.07499065161876706,0.037600936551255945,23315700109.366665,-165.19999999999982,33.36403516851358
2019-10-21,8225.12,8296.69,8196.42,8243.72,8243.72,15868748866.0,8832.710666666668,8047.794199999999,0.020489713054888448,0.036677815676163905,23152515057.0,18.599999999998545,34.996649920547895
2019-10-20,7997.81,8281.82,7949.44,8222.08,8222.08,15504249442.0,8833.241666666667,8036.4291,-0.0026250285065479995,0.036473976100680566,22966536244.533333,224.26999999999953,36.45292140509812
2019-10-19,7973.8,8082.63,7944.78,7988.56,7988.56,13797825640.0,8822.550666666668,8027.2165,-0.028401572351521742,0.03678130637683329,22707148076.766666,14.760000000000218,32.798998959824516
2019-10-18,8100.93,8138.41,7902.16,7973.21,7973.21,15651592610.0,8802.391666666666,8020.9803,-0.0019214977417707502,0.03625045031495137,22606579867.2,-127.72000000000025,33.21175590310999
2019-10-17,8047.81,8134.83,8000.94,8103.91,8103.91,14313052244.0,8787.496666666666,8018.340899999999,0.01639239402950632,0.03640009112038344,22533835281.733334,56.099999999999454,35.97046764681026
2019-10-16,8204.67,8216.81,7985.09,8047.53,8047.53,16071646996.0,8772.681333333334,8014.3619,-0.006957135506193923,0.03640055240479877,22342994965.9,-157.14000000000033,35.35814517964148
2019-10-15,8373.46,8410.71,8182.71,8205.37,8205.37,15220412632.0,8755.924,8012.3504,0.01961347146267256,0.03626904732062324,22214184054.466667,-168.08999999999833,34.29290307326174
2019-10-14,8320.83,8390.21,8284.13,8374.69,8374.69,15151387859.0,8741.471666666668,8009.288500000001,0.020635266904478478,0.036418384406802236,22134371802.933334,53.86000000000058,38.66656723479979
2019-10-13,8336.9,8470.99,8276.61,8321.01,8321.01,13808286059.0,8724.983333333334,8005.039699999999,-0.006409789496685914,0.036429709215845305,21917655701.333332,-15.889999999999418,33.1266726626596
2019-10-12,8315.67,8415.24,8313.34,8336.56,8336.56,14532641605.0,8710.942333333332,8001.8289,0.0018687635275043135,0.03641986756465026,21726560062.666668,20.889999999999418,36.4646317150869
2019-10-11,8585.26,8721.78,8316.18,8321.76,8321.76,19604381101.0,8686.483333333334,7997.984,-0.001775312598961576,0.03581598578936378,21693775436.666668,-263.5,43.917565734220545
2019-10-10,8585.28,8625.27,8471.93,8586.47,8586.47,17618660671.0,8678.912999999999,7994.4205999999995,0.03180937686258667,0.03602594489355852,21695109772.166668,1.1899999999986903,79.01121185738859
2019-10-09,8229.84,8627.71,8169.3,8595.74,8595.74,19384942333.0,8671.941666666668,7991.0876,0.001079605472330325,0.03602639561177219,21530173255.4,365.89999999999964,78.87766386545646
2019-10-08,8246.85,8332.71,8185.76,8228.78,8228.78,15592264032.0,8637.315666666667,7986.1375,-0.04269091433663641,0.03541379209087443,21293235928.5,-18.06999999999971,54.494281416394095
2019-10-07,7989.12,8308.45,7905.77,8245.62,8245.62,18009742607.0,8600.140333333333,7980.5235999999995,0.002046475905298273,0.03533939316213982,21122430823.233334,256.5000000000009,50.06223142228282
2019-10-06,8149.88,8161.41,7958.85,7988.16,7988.16,13160830305.0,8554.994666666667,7972.1276,-0.031223849752959887,0.03569496365005465,20687838198.466667,-161.72000000000025,43.36351978574427
2019-10-05,8210.15,8215.53,8071.12,8151.5,8151.5,12200497197.0,8512.957666666667,7972.2007,0.020447762688779347,0.03592340152679545,20222179583.9,-58.649999999999636,54.81444273726509
2019-10-04,8259.49,8260.06,8151.24,8205.94,8205.94,13139456229.0,8478.644,7972.3352,0.006678525424768544,0.03586534620735714,19955754096.633335,-53.54999999999927,56.72128875000723
2019-10-03,8390.77,8414.23,8146.44,8259.99,8259.99,13668823409.0,8443.153,7974.5597,0.006586692079152412,0.035831262787396824,19703292330.766666,-130.78000000000065,54.71643378620122
